"filename", "language", "Properties", "Groovy", "XML", "JSON", "Batch", "Java", "comment", "blank", "total"
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\.idea\compiler.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\.idea\gradle.xml", "XML", 0, 0, 20, 0, 0, 0, 0, 0, 20
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\.idea\misc.xml", "XML", 0, 0, 47, 0, 0, 0, 0, 0, 47
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\.idea\vcs.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\.idea\gradle.xml", "XML", 0, 0, 12, 0, 0, 0, 0, 0, 12
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\.idea\misc.xml", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 9
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\.idea\modules.xml", "XML", 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\.idea\vcs.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\build.gradle", "Groovy", 0, 45, 0, 0, 0, 0, 0, 6, 51
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\release\output-metadata.json", "JSON", 0, 0, 0, 20, 0, 0, 0, 0, 20
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\AndroidManifest.xml", "XML", 0, 0, 27, 0, 0, 0, 0, 3, 30
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\java\com\wco_fun\wco_wrapper\MainActivity.java", "Java", 0, 0, 0, 0, 0, 140, 9, 29, 178
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\java\com\wco_fun\wco_wrapper\classes\CachedContent\SearchCache.java", "Java", 0, 0, 0, 0, 0, 32, 0, 10, 42
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\java\com\wco_fun\wco_wrapper\classes\WatchGroup.java", "Java", 0, 0, 0, 0, 0, 50, 0, 13, 63
