Date : 2022-05-31 00:54:23
Directory : c:\Users\elite\Desktop\Code\Android\wco_wrapper
Total : 88 files,  4345 codes, 165 comments, 729 blanks, all 5239 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Java       |         31 |      2,561 |        101 |        541 |      3,203 |
| XML        |         50 |      1,620 |         41 |        155 |      1,816 |
| Groovy     |          3 |         68 |          1 |          8 |         77 |
| Batch      |          1 |         68 |          0 |         22 |         90 |
| JSON       |          1 |         20 |          0 |          0 |         20 |
| Properties |          2 |          8 |         22 |          3 |         33 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                  |         88 |      4,345 |        165 |        729 |      5,239 |
| .idea                                                                                                                                              |          4 |         79 |          0 |          0 |         79 |
| app                                                                                                                                                |         79 |      4,167 |        142 |        702 |      5,011 |
| app\.idea                                                                                                                                          |          4 |         35 |          0 |          0 |         35 |
| app\release                                                                                                                                        |          1 |         20 |          0 |          0 |         20 |
| app\src                                                                                                                                            |         73 |      4,067 |        142 |        696 |      4,905 |
| app\src\main                                                                                                                                       |         73 |      4,067 |        142 |        696 |      4,905 |
| app\src\main\java                                                                                                                                  |         31 |      2,561 |        101 |        541 |      3,203 |
| app\src\main\java\com                                                                                                                              |         31 |      2,561 |        101 |        541 |      3,203 |
| app\src\main\java\com\wco_fun                                                                                                                      |         31 |      2,561 |        101 |        541 |      3,203 |
| app\src\main\java\com\wco_fun\wco_wrapper                                                                                                          |         31 |      2,561 |        101 |        541 |      3,203 |
| app\src\main\java\com\wco_fun\wco_wrapper\classes                                                                                                  |          8 |        564 |         31 |        114 |        709 |
| app\src\main\java\com\wco_fun\wco_wrapper\classes\CachedContent                                                                                    |          1 |         32 |          0 |         10 |         42 |
| app\src\main\java\com\wco_fun\wco_wrapper\classes\episode                                                                                          |          1 |        119 |         12 |         18 |        149 |
| app\src\main\java\com\wco_fun\wco_wrapper\classes\series                                                                                           |          3 |        196 |          4 |         41 |        241 |
| app\src\main\java\com\wco_fun\wco_wrapper\classes\user_data                                                                                        |          2 |        167 |         15 |         32 |        214 |
| app\src\main\java\com\wco_fun\wco_wrapper\initialization                                                                                           |          1 |         95 |          2 |         22 |        119 |
| app\src\main\java\com\wco_fun\wco_wrapper\ui                                                                                                       |         21 |      1,762 |         59 |        376 |      2,197 |
| app\src\main\java\com\wco_fun\wco_wrapper\ui\episodes                                                                                              |          3 |        446 |          9 |         92 |        547 |
| app\src\main\java\com\wco_fun\wco_wrapper\ui\home                                                                                                  |         15 |        846 |         35 |        209 |      1,090 |
| app\src\main\java\com\wco_fun\wco_wrapper\ui\home\see_all                                                                                          |          1 |         49 |          2 |         18 |         69 |
| app\src\main\java\com\wco_fun\wco_wrapper\ui\home\watch_adapters                                                                                   |          2 |        199 |          7 |         41 |        247 |
| app\src\main\java\com\wco_fun\wco_wrapper\ui\home\watchgroups                                                                                      |         11 |        524 |         24 |        124 |        672 |
| app\src\main\java\com\wco_fun\wco_wrapper\ui\home\watchgroups\SeriesCard                                                                           |          4 |        190 |         19 |         50 |        259 |
| app\src\main\java\com\wco_fun\wco_wrapper\ui\home\watchgroups\SeriesGroup                                                                          |          5 |        112 |          1 |         31 |        144 |
| app\src\main\java\com\wco_fun\wco_wrapper\ui\search                                                                                                |          3 |        470 |         15 |         75 |        560 |
| app\src\main\res                                                                                                                                   |         41 |      1,479 |         41 |        152 |      1,672 |
| app\src\main\res\drawable                                                                                                                          |         15 |        333 |          0 |         15 |        348 |
| app\src\main\res\drawable-v24                                                                                                                      |          1 |         30 |          0 |          0 |         30 |
| app\src\main\res\layout                                                                                                                            |          9 |        868 |          0 |        102 |        970 |
| app\src\main\res\menu                                                                                                                              |          1 |         15 |          0 |          1 |         16 |
| app\src\main\res\mipmap-anydpi-v26                                                                                                                 |          4 |         20 |          0 |          0 |         20 |
| app\src\main\res\navigation                                                                                                                        |          1 |         49 |          0 |          0 |         49 |
| app\src\main\res\values                                                                                                                            |          4 |        134 |         12 |         32 |        178 |
| app\src\main\res\values-land                                                                                                                       |          1 |          3 |          0 |          0 |          3 |
| app\src\main\res\values-night                                                                                                                      |          1 |         13 |          5 |          2 |         20 |
